dataset,metric,5,10,15,20,25,30,35,40,45,50
Moon,M_baseline,0.9943170688114388,0.9947635342988661,0.994759708117054,0.9947708063967335,0.9948178568171455,0.9945424391734464,0.9941047289959523,0.9937719810119254,0.9935221187668115,0.9934421902421903
Moon,M_altered,0.9951687220732797,0.9961658021780622,0.9962892349356804,0.9960120222297834,0.9958510168718651,0.9955064970780337,0.994941402573469,0.9944103855505384,0.9939996585971447,0.9937580531180531
S-Curve,M_baseline,0.9923280607685433,0.9928942629392613,0.99260877153389,0.9924217761143246,0.9926000729594163,0.9926454451701616,0.9923158192648172,0.9920682760217668,0.991651013863025,0.991434018954019
S-Curve,M_altered,0.9929249329758714,0.9938903334456046,0.9936887384337622,0.9936429624588863,0.9935702690378477,0.9934131927733852,0.9930160529173659,0.9926562926942225,0.9921177426029382,0.9916896033696033
Swiss Roll,M_baseline,0.987390527256479,0.9867047041652632,0.9861817197020989,0.9860271520925485,0.9860906703146375,0.9862443451357855,0.9858357455490835,0.9850962486974644,0.9845301779433064,0.9844212097812097
Swiss Roll,M_altered,0.9879798033958892,0.9883360502975188,0.9878482208681261,0.9874518770556879,0.9872141906064752,0.9868444902792101,0.9863776351729358,0.9855543012620123,0.9848970929029588,0.9846469919269919
Iris,M_baseline,0.9711549295774647,0.9709640644361834,0.9660857392825897,0.9637768479776848,0.9623928571428572,0.9623157894736842,0.9619165439371625,0.961510242085661,0.964327009936766,0.9650881431767337
Iris,M_altered,0.9772018779342723,0.9744287484510533,0.9666771653543307,0.9638493723849373,0.9624380952380952,0.9623604465709729,0.9619165439371625,0.961510242085661,0.964327009936766,0.9650881431767337
Glass,M_baseline,0.9380999909264132,0.938077638362485,0.9331702304643539,0.9290419924113168,0.9225286745964316,0.9121208759717869,0.9045169957458806,0.9039354318244086,0.8987987026842487,0.8916947265427309
Glass,M_altered,0.9444378912984303,0.9390545916805951,0.9336628011286718,0.9292278896839746,0.9226093882752762,0.9121976020780758,0.9045169957458806,0.9039354318244086,0.8987987026842487,0.8916947265427309
Mushroom,M_baseline,0.97732859383353,0.9765390122096831,0.9763501285358189,0.9750903848810114,0.9738059904524636,0.9729499614712238,0.9724670757409924,0.9712223812209201,0.9698940887310354,0.968465450424918
Mushroom,M_altered,0.9774557717866902,0.9766556570724225,0.976540909852761,0.9753045941365315,0.9740651298638114,0.9732566837261091,0.9728208916457981,0.9716130670795392,0.970254162924195,0.9688060351866685
Cardio,M_baseline,0.9597964308967937,0.9478597041768829,0.9376294665327133,0.930543695171818,0.9283745208834289,0.9267592500186317,0.9230000049099625,0.9178645770477941,0.9127582716037581,0.9105411908951142
Cardio,M_altered,0.9604519623866661,0.9499261298996216,0.940502846509091,0.9331192012211831,0.9295375500189271,0.9270379645381677,0.9230130832644823,0.9180939918330387,0.9128879174302653,0.9106779588746731
